Fecha;Banco;Cuenta;Moneda;Monto;TipoMovimiento
2/12/24;Banco BBVA;Caja de Ahorro 456;ARS;3265,98;Ingreso
2/6/24;Banco Macro;Caja de Ahorro 456;ARS;567,41;Ingreso
14/8/24;Banco Santander;Cuenta Corriente 789;EUR;-115,9;Egreso
19/10/24;Banco BBVA;Cuenta Corriente 123;USD;1391,13;Ingreso
10/8/24;Banco Nacion;Cuenta Corriente 123;EUR;3323,71;Ingreso
2/12/24;Banco de Galicia;Cuenta Corriente 789;ARS;3950,1;Ingreso
3/4/24;Banco de Galicia;Caja de Ahorro 001;ARS;2324,98;Ingreso
22/8/24;Banco Santander;Cuenta Corriente 123;USD;4497,72;Ingreso
30/11/24;Banco Macro;Caja de Ahorro 001;ARS;1036,15;Ingreso
19/4/24;Banco BBVA;Caja de Ahorro 001;USD;980,2;Ingreso
10/1/24;Banco Macro;Cuenta Corriente 789;ARS;1769,72;Ingreso
26/5/24;Banco BBVA;Caja de Ahorro 456;ARS;1696,37;Ingreso
9/12/24;Banco Macro;Cuenta Corriente 123;ARS;4703,46;Ingreso
7/4/24;Banco Macro;Cuenta Corriente 789;USD;-1156,26;Egreso
28/4/24;Banco BBVA;Cuenta Corriente 789;USD;-1366,6;Egreso
28/5/24;Banco Naci—n;Cuenta Corriente 789;USD;678,02;Ingreso
20/12/24;Banco Santander;Cuenta Corriente 123;USD;-2454,63;Egreso
27/4/24;Banco Naci—n;Caja de Ahorro 001;ARS;739,38;Ingreso
13/7/24;Banco Macro;Caja de Ahorro 456;ARS;-467,85;Egreso
4/9/24;Banco BBVA;Caja de Ahorro 456;EUR;2253,73;Ingreso
31/7/24;Banco Nacion;Cuenta Corriente 123;EUR;-1533,52;Egreso
14/1/24;Banco Santander;Caja de Ahorro 456;ARS;3950,15;Ingreso
24/9/24;Banco BBVA;Cuenta Corriente 123;USD;-1200,11;Egreso
15/4/24;Banco Macro;Cuenta Corriente 123;USD;-874,55;Egreso
12/7/24;Banco Galicia;Caja de Ahorro 456;EUR;444,88;Ingreso
17/12/24;Banco Macro;Caja de Ahorro 456;USD;-1288,69;Egreso
2/1/24;Banco Santander;Caja de Ahorro 001;ARS;-1857,15;Egreso
26/10/24;Banco de Galicia;Cuenta Corriente 789;USD;4687,61;Ingreso
29/6/24;Banco de Galicia;Cuenta Corriente 123;ARS;1867,43;Ingreso
12/10/24;Banco Macro;Cuenta Corriente 123;EUR;1530,98;Ingreso
24/4/24;Banco Santander;Caja de Ahorro 001;ARS;1843,15;Ingreso
25/3/24;Banco BBVA;Caja de Ahorro 001;EUR;3993,58;Ingreso
6/12/24;Banco Santander;Caja de Ahorro 456;ARS;830,85;Ingreso
6/7/24;Banco Santander;Cuenta Corriente 123;ARS;-332,43;Egreso
13/12/24;Banco Macro;Caja de Ahorro 456;ARS;1572,54;Ingreso
3/4/24;Banco Santander;Cuenta Corriente 123;EUR;-505,51;Egreso
28/5/24;Banco Macro;Cuenta Corriente 789;USD;-1765,28;Egreso
21/6/24;Banco Santander;Cuenta Corriente 123;USD;-576,29;Egreso
5/9/24;Banco BBVA;Cuenta Corriente 789;ARS;-1528,84;Egreso
20/11/24;Banco Santander;Cuenta Corriente 789;EUR;3275,27;Ingreso
5/12/24;Banco de Galicia;Cuenta Corriente 789;ARS;-1441,16;Egreso
18/3/24;Banco Santander;Caja de Ahorro 456;USD;4874,56;Ingreso
12/12/24;Banco Macro;Cuenta Corriente 123;USD;966,91;Ingreso
30/7/24;Banco de Galicia;Caja de Ahorro 001;ARS;-238,77;Egreso
6/2/24;Banco Macro;Caja de Ahorro 001;USD;3025,32;Ingreso
7/4/24;Banco Naci—n;Caja de Ahorro 001;USD;-1906,62;Egreso
26/7/24;Banco Nacion;Cuenta Corriente 123;USD;2606,06;Ingreso
22/9/24;Banco Galicia;Caja de Ahorro 001;EUR;-2019,57;Egreso
3/6/24;Banco de Galicia;Cuenta Corriente 123;USD;-706,95;Egreso
30/12/24;Banco Macro;Caja de Ahorro 001;EUR;-276,07;Egreso
12/6/24;Banco Macro;Caja de Ahorro 001;USD;3116,35;Ingreso
16/10/24;Banco Santander;Caja de Ahorro 456;ARS;342,77;Ingreso
8/12/24;Banco BBVA;Cuenta Corriente 789;EUR;-2216,48;Egreso
11/7/24;Banco Macro;Cuenta Corriente 789;USD;-257,75;Egreso
22/11/24;Banco Santander;Caja de Ahorro 001;ARS;1166,17;Ingreso
17/1/24;Banco Naci—n;Caja de Ahorro 001;USD;-1478,41;Egreso
7/7/24;Banco Macro;Cuenta Corriente 123;ARS;128,92;Ingreso
18/1/24;Banco Macro;Cuenta Corriente 789;ARS;1134,83;Ingreso
11/9/24;Banco Macro;Cuenta Corriente 123;EUR;432,93;Ingreso
3/10/24;Banco BBVA;Caja de Ahorro 456;ARS;-1998,39;Egreso
25/2/24;Banco Nacion;Cuenta Corriente 123;EUR;-1831,08;Egreso
12/8/24;Banco BBVA;Cuenta Corriente 123;USD;3480,55;Ingreso
28/2/24;Banco Naci—n;Caja de Ahorro 001;EUR;-1938,93;Egreso
23/4/24;Banco Naci—n;Caja de Ahorro 456;EUR;4714,22;Ingreso
16/10/24;Banco BBVA;Cuenta Corriente 789;USD;3109;Ingreso
10/3/24;Banco Santander;Caja de Ahorro 001;ARS;4610,34;Ingreso
7/10/24;Banco Macro;Cuenta Corriente 789;ARS;4063,69;Ingreso
23/9/24;Banco Macro;Caja de Ahorro 001;EUR;3243,42;Ingreso
6/7/24;Banco Naci—n;Caja de Ahorro 456;EUR;-2353,67;Egreso
13/12/24;Banco Naci—n;Cuenta Corriente 789;USD;-1186,78;Egreso
22/12/24;Banco Macro;Caja de Ahorro 456;ARS;-2158,5;Egreso
11/9/24;Banco Naci—n;Caja de Ahorro 456;EUR;-671,71;Egreso
26/1/24;Banco Naci—n;Caja de Ahorro 001;ARS;-251,75;Egreso
30/1/24;Banco Santander;Caja de Ahorro 456;USD;4349,78;Ingreso
3/12/24;Banco Macro;Cuenta Corriente 123;EUR;-75,29;Egreso
11/5/24;Banco BBVA;Caja de Ahorro 456;USD;4503,85;Ingreso
6/6/24;Banco de Galicia;Cuenta Corriente 789;USD;2051,64;Ingreso
1/3/24;Banco Santander;Caja de Ahorro 456;ARS;675,79;Ingreso
26/8/24;Banco Naci—n;Caja de Ahorro 456;EUR;-1838,44;Egreso
5/2/24;Banco Naci—n;Cuenta Corriente 789;ARS;1967,25;Ingreso
11/6/24;Banco BBVA;Cuenta Corriente 789;ARS;2377,34;Ingreso
27/6/24;Banco Santander;Caja de Ahorro 001;ARS;3635,58;Ingreso
31/7/24;Banco BBVA;Cuenta Corriente 789;ARS;2370,17;Ingreso
4/3/24;Banco Naci—n;Caja de Ahorro 001;ARS;3140,23;Ingreso
8/2/24;Banco Naci—n;Caja de Ahorro 456;ARS;-1719,53;Egreso
6/9/24;Banco Santander;Cuenta Corriente 789;USD;-925,54;Egreso
15/10/24;Banco Macro;Caja de Ahorro 456;EUR;3836,32;Ingreso
20/9/24;Banco Naci—n;Caja de Ahorro 001;EUR;3674,53;Ingreso
18/1/24;Banco Santander;Cuenta Corriente 123;ARS;3416,07;Ingreso
29/3/24;Banco Santander;Cuenta Corriente 123;USD;-106,99;Egreso
9/11/24;Banco Santander;Cuenta Corriente 123;ARS;4325,55;Ingreso
24/6/24;Banco Nacion;Cuenta Corriente 123;EUR;3272,06;Ingreso
13/3/24;Banco de Galicia;Cuenta Corriente 123;ARS;2358,46;Ingreso
11/6/24;Banco Naci—n;Cuenta Corriente 789;ARS;-365,41;Egreso
21/11/24;Banco Santander;Caja de Ahorro 001;ARS;2292,3;Ingreso
18/8/24;Banco Macro;Caja de Ahorro 001;EUR;3368,2;Ingreso
4/1/24;Banco BBVA;Caja de Ahorro 001;ARS;-70,76;Egreso
7/8/24;Banco Macro;Cuenta Corriente 789;EUR;3110,39;Ingreso
21/3/24;Banco de Galicia;Caja de Ahorro 001;USD;-1086,52;Egreso
17/7/24;Banco Naci—n;Caja de Ahorro 001;EUR;-1435,76;Egreso
3/3/24;Banco Santander;Cuenta Corriente 123;ARS;1856,19;Ingreso
26/3/24;Banco BBVA;Caja de Ahorro 456;EUR;1367,58;Ingreso
2/7/24;Banco de Galicia;Cuenta Corriente 123;ARS;3441,83;Ingreso
22/4/24;Banco BBVA;Cuenta Corriente 789;EUR;-1661,03;Egreso
25/7/24;Banco Macro;Caja de Ahorro 001;EUR;4469,09;Ingreso
4/4/24;Banco Santander;Caja de Ahorro 001;USD;-970,98;Egreso
3/5/24;Banco Macro;Cuenta Corriente 789;EUR;4000,74;Ingreso
10/10/24;Banco Macro;Cuenta Corriente 789;ARS;4841,53;Ingreso
17/3/24;Banco Naci—n;Caja de Ahorro 001;USD;3506,53;Ingreso
24/4/24;Banco BBVA;Cuenta Corriente 123;ARS;2112,52;Ingreso
25/7/24;Banco Naci—n;Caja de Ahorro 456;EUR;-1913,27;Egreso
6/5/24;Banco BBVA;Cuenta Corriente 789;EUR;3120,91;Ingreso
22/5/24;Banco Santander;Caja de Ahorro 001;EUR;2550,23;Ingreso
7/12/24;Banco Macro;Cuenta Corriente 789;EUR;-1722,85;Egreso
1/1/24;Banco Naci—n;Caja de Ahorro 456;EUR;4023,01;Ingreso
11/7/24;Banco de Galicia;Caja de Ahorro 456;USD;4538,5;Ingreso
16/1/24;Banco BBVA;Caja de Ahorro 456;USD;1379,62;Ingreso
27/11/24;Banco Macro;Caja de Ahorro 001;ARS;-263,17;Egreso
26/1/24;Banco Macro;Cuenta Corriente 123;EUR;-261,94;Egreso
13/5/24;Banco de Galicia;Caja de Ahorro 001;USD;-467,33;Egreso
18/6/24;Banco BBVA;Cuenta Corriente 789;EUR;2487,43;Ingreso
28/4/24;Banco Santander;Cuenta Corriente 789;EUR;1393,79;Ingreso
28/5/24;Banco Galicia;Cuenta Corriente 123;EUR;4419,06;Ingreso
16/6/24;Banco de Galicia;Cuenta Corriente 123;USD;-353,94;Egreso
17/10/24;Banco de Galicia;Cuenta Corriente 789;USD;-1338,27;Egreso
9/11/24;Banco de Galicia;Cuenta Corriente 789;ARS;1808,54;Ingreso
25/1/24;Banco de Galicia;Caja de Ahorro 456;ARS;2650,97;Ingreso
2/7/24;Banco Santander;Cuenta Corriente 789;ARS;2892,3;Ingreso
22/9/24;Banco Galicia;Caja de Ahorro 001;EUR;3703,17;Ingreso
1/12/24;Banco Santander;Cuenta Corriente 789;USD;3206,83;Ingreso
16/2/24;Banco Galicia;Caja de Ahorro 456;EUR;292,33;Ingreso
11/6/24;Banco BBVA;Cuenta Corriente 123;EUR;-534,15;Egreso
27/11/24;Banco Macro;Caja de Ahorro 456;USD;-781,24;Egreso
8/4/24;Banco Macro;Cuenta Corriente 789;EUR;4416,87;Ingreso
15/4/24;Banco Santander;Caja de Ahorro 456;ARS;-1484,83;Egreso
9/1/24;Banco Macro;Caja de Ahorro 001;USD;772,46;Ingreso
3/9/24;Banco BBVA;Cuenta Corriente 789;ARS;-473,54;Egreso
12/7/24;Banco Macro;Cuenta Corriente 789;ARS;-1459,81;Egreso
23/3/24;Banco de Galicia;Cuenta Corriente 789;ARS;-1240,95;Egreso
13/5/24;Banco BBVA;Cuenta Corriente 123;ARS;3505,33;Ingreso
19/6/24;Banco Naci—n;Caja de Ahorro 456;USD;4762,03;Ingreso
6/11/24;Banco Santander;Caja de Ahorro 456;EUR;-1032,31;Egreso
22/12/24;Banco de Galicia;Cuenta Corriente 123;USD;-1406,64;Egreso
5/5/24;Banco Galicia;Cuenta Corriente 123;EUR;-2199,65;Egreso
17/6/24;Banco BBVA;Cuenta Corriente 789;USD;-1614,66;Egreso
2/12/24;Banco Galicia;Caja de Ahorro 456;EUR;-1855,93;Egreso
12/10/24;Banco Naci—n;Caja de Ahorro 456;EUR;-2082,92;Egreso
9/12/24;Banco Santander;Cuenta Corriente 123;USD;2559,79;Ingreso
16/7/24;Banco Santander;Caja de Ahorro 001;USD;223,89;Ingreso
19/8/24;Banco Macro;Caja de Ahorro 456;USD;1270,2;Ingreso
11/1/24;Banco de Galicia;Caja de Ahorro 456;USD;-2403,62;Egreso
31/10/24;Banco BBVA;Cuenta Corriente 123;EUR;138,78;Ingreso
9/9/24;Banco de Galicia;Cuenta Corriente 123;ARS;-1415,94;Egreso
3/11/24;Banco Naci—n;Caja de Ahorro 001;EUR;-852,22;Egreso
21/6/24;Banco Naci—n;Caja de Ahorro 001;USD;-1887,07;Egreso
30/11/24;Banco Santander;Caja de Ahorro 001;USD;2419,92;Ingreso
31/12/24;Banco de Galicia;Caja de Ahorro 456;ARS;4431,13;Ingreso
27/3/24;Banco Santander;Cuenta Corriente 789;EUR;-1419,47;Egreso
18/4/24;Banco BBVA;Cuenta Corriente 123;EUR;-601,43;Egreso
29/5/24;Banco Macro;Caja de Ahorro 456;ARS;234,02;Ingreso
12/11/24;Banco BBVA;Caja de Ahorro 001;ARS;-1374,21;Egreso
20/7/24;Banco Macro;Caja de Ahorro 001;USD;-1698,01;Egreso
11/4/24;Banco Naci—n;Caja de Ahorro 001;EUR;2035,81;Ingreso
23/5/24;Banco Macro;Caja de Ahorro 001;ARS;1484,72;Ingreso
19/4/24;Banco Santander;Cuenta Corriente 789;ARS;-285,32;Egreso
15/2/24;Banco Santander;Caja de Ahorro 456;USD;757,02;Ingreso
2/4/24;Banco Nacion;Cuenta Corriente 123;USD;-526,79;Egreso
6/8/24;Banco Macro;Caja de Ahorro 001;ARS;4764,84;Ingreso
18/3/24;Banco de Galicia;Caja de Ahorro 456;ARS;-2441,51;Egreso
14/7/24;Banco BBVA;Cuenta Corriente 123;ARS;2487,98;Ingreso
25/8/24;Banco Macro;Caja de Ahorro 456;ARS;1535,87;Ingreso
15/11/24;Banco Santander;Caja de Ahorro 001;EUR;3026,43;Ingreso
27/11/24;Banco Macro;Cuenta Corriente 789;EUR;4103,81;Ingreso
29/10/24;Banco Galicia;Caja de Ahorro 001;EUR;-725,71;Egreso
17/6/24;Banco Macro;Caja de Ahorro 001;ARS;4215,89;Ingreso
17/10/24;Banco Nacion;Cuenta Corriente 123;USD;3949,27;Ingreso
24/1/24;Banco Nacion;Cuenta Corriente 123;USD;3775,91;Ingreso
18/4/24;Banco Naci—n;Caja de Ahorro 001;USD;1666,25;Ingreso
12/11/24;Banco Nacion;Cuenta Corriente 123;USD;4428,18;Ingreso
5/7/24;Banco Naci—n;Cuenta Corriente 789;EUR;-510,79;Egreso
24/4/24;Banco Nacion;Cuenta Corriente 123;USD;-878;Egreso
2/1/24;Banco de Galicia;Caja de Ahorro 001;USD;-2083,67;Egreso
7/5/24;Banco Naci—n;Caja de Ahorro 456;EUR;577,49;Ingreso
28/11/24;Banco BBVA;Caja de Ahorro 456;ARS;1469,51;Ingreso
26/6/24;Banco BBVA;Caja de Ahorro 001;ARS;4379,2;Ingreso
7/3/24;Banco Nacion;Cuenta Corriente 123;USD;-804,81;Egreso
20/3/24;Banco Santander;Caja de Ahorro 001;USD;-2390,24;Egreso
15/5/24;Banco BBVA;Caja de Ahorro 001;USD;4418,16;Ingreso
9/4/24;Banco Naci—n;Caja de Ahorro 001;EUR;4228,93;Ingreso
4/5/24;Banco Naci—n;Cuenta Corriente 789;EUR;3305,68;Ingreso
14/8/24;Banco Naci—n;Caja de Ahorro 001;EUR;4460,03;Ingreso
7/9/24;Banco Naci—n;Cuenta Corriente 789;ARS;-1221,02;Egreso
12/1/24;Banco Galicia;Caja de Ahorro 001;EUR;1939,2;Ingreso
23/7/24;Banco de Galicia;Cuenta Corriente 123;USD;1446,23;Ingreso
2/5/24;Banco de Galicia;Caja de Ahorro 001;ARS;819,74;Ingreso
7/7/24;Banco de Galicia;Cuenta Corriente 123;USD;-664,47;Egreso
29/6/24;Banco Santander;Cuenta Corriente 123;EUR;282,65;Ingreso
8/5/24;Banco de Galicia;Caja de Ahorro 456;USD;2123,38;Ingreso
13/9/24;Banco Macro;Caja de Ahorro 001;ARS;-1128,87;Egreso
25/11/24;Banco BBVA;Caja de Ahorro 001;USD;-1150,96;Egreso
22/12/24;Banco BBVA;Cuenta Corriente 789;USD;-581,68;Egreso
5/6/24;Banco BBVA;Caja de Ahorro 001;USD;2700,36;Ingreso
11/11/24;Banco Macro;Caja de Ahorro 456;ARS;795,39;Ingreso
8/5/24;Banco BBVA;Caja de Ahorro 001;USD;-1321,46;Egreso
30/10/24;Banco Nacion;Cuenta Corriente 123;EUR;-2193,59;Egreso
19/10/24;Banco de Galicia;Cuenta Corriente 789;ARS;260,08;Ingreso
2/1/24;Banco BBVA;Cuenta Corriente 123;EUR;925,05;Ingreso
25/6/24;Banco Galicia;Cuenta Corriente 789;EUR;502,73;Ingreso
5/10/24;Banco Naci—n;Cuenta Corriente 789;EUR;1118,5;Ingreso
10/3/24;Banco Santander;Caja de Ahorro 001;ARS;-2135,68;Egreso
16/6/24;Banco Macro;Cuenta Corriente 123;USD;-1798,82;Egreso
26/4/24;Banco de Galicia;Cuenta Corriente 789;ARS;2598,33;Ingreso
30/7/24;Banco Naci—n;Caja de Ahorro 001;EUR;427,22;Ingreso
14/12/24;Banco Macro;Cuenta Corriente 123;EUR;4682,69;Ingreso
16/12/24;Banco Naci—n;Caja de Ahorro 456;EUR;-1063,17;Egreso
13/3/24;Banco BBVA;Cuenta Corriente 789;USD;1399,26;Ingreso
21/5/24;Banco de Galicia;Caja de Ahorro 001;ARS;2263,49;Ingreso
11/8/24;Banco BBVA;Caja de Ahorro 456;USD;-977,88;Egreso
5/2/24;Banco Macro;Cuenta Corriente 123;USD;-2490,23;Egreso
5/5/24;Banco Santander;Cuenta Corriente 789;EUR;558,17;Ingreso
12/8/24;Banco Galicia;Caja de Ahorro 456;EUR;1199,15;Ingreso
19/8/24;Banco Santander;Caja de Ahorro 456;USD;2613,6;Ingreso
14/4/24;Banco BBVA;Cuenta Corriente 789;EUR;-317,72;Egreso
20/1/24;Banco Naci—n;Caja de Ahorro 456;ARS;2338,08;Ingreso
4/2/24;Banco BBVA;Caja de Ahorro 456;ARS;-2043,85;Egreso
25/6/24;Banco Macro;Caja de Ahorro 001;EUR;-534,85;Egreso
29/8/24;Banco Santander;Caja de Ahorro 456;EUR;2222,44;Ingreso
5/11/24;Banco Naci—n;Cuenta Corriente 789;USD;-245,48;Egreso
18/2/24;Banco Macro;Caja de Ahorro 001;EUR;2532,34;Ingreso
14/10/24;Banco Naci—n;Cuenta Corriente 789;USD;1716,75;Ingreso
15/11/24;Banco BBVA;Caja de Ahorro 001;EUR;3632,99;Ingreso
17/6/24;Banco Naci—n;Cuenta Corriente 789;ARS;2957,83;Ingreso
22/3/24;Banco Macro;Cuenta Corriente 123;EUR;-787,25;Egreso
23/3/24;Banco Macro;Cuenta Corriente 123;EUR;4281,92;Ingreso
21/4/24;Banco Naci—n;Cuenta Corriente 789;EUR;2280,11;Ingreso
6/1/24;Banco de Galicia;Cuenta Corriente 123;ARS;-386,17;Egreso
24/7/24;Banco de Galicia;Caja de Ahorro 456;ARS;4542,42;Ingreso
26/10/24;Banco BBVA;Caja de Ahorro 456;USD;4228,01;Ingreso
4/9/24;Banco Galicia;Cuenta Corriente 789;EUR;4869,15;Ingreso
24/12/24;Banco Macro;Cuenta Corriente 789;USD;4168,99;Ingreso
31/1/24;Banco BBVA;Caja de Ahorro 001;ARS;-968,82;Egreso
25/10/24;Banco Naci—n;Caja de Ahorro 456;USD;-2101,07;Egreso
11/8/24;Banco de Galicia;Cuenta Corriente 789;ARS;3749,91;Ingreso
27/5/24;Banco Naci—n;Caja de Ahorro 001;ARS;1525,28;Ingreso
16/6/24;Banco Macro;Cuenta Corriente 789;EUR;1593,23;Ingreso
15/6/24;Banco de Galicia;Caja de Ahorro 456;ARS;4266,51;Ingreso
30/10/24;Banco Santander;Cuenta Corriente 789;EUR;4454,16;Ingreso
20/7/24;Banco Galicia;Caja de Ahorro 456;EUR;-54,77;Egreso
11/7/24;Banco de Galicia;Cuenta Corriente 789;ARS;3532,52;Ingreso
19/5/24;Banco BBVA;Caja de Ahorro 001;EUR;-1303,21;Egreso
15/8/24;Banco Nacion;Cuenta Corriente 123;EUR;410,01;Ingreso
19/6/24;Banco Macro;Cuenta Corriente 789;EUR;-2335,47;Egreso
18/10/24;Banco BBVA;Caja de Ahorro 456;ARS;1379,35;Ingreso
22/6/24;Banco BBVA;Cuenta Corriente 789;EUR;-423,88;Egreso
3/10/24;Banco Macro;Caja de Ahorro 456;EUR;-310,72;Egreso
21/3/24;Banco BBVA;Caja de Ahorro 456;EUR;475,01;Ingreso
8/5/24;Banco Naci—n;Caja de Ahorro 456;EUR;1520,53;Ingreso
29/10/24;Banco BBVA;Caja de Ahorro 456;ARS;1700,67;Ingreso
7/7/24;Banco de Galicia;Cuenta Corriente 123;USD;4311,49;Ingreso
22/10/24;Banco BBVA;Caja de Ahorro 456;USD;833,3;Ingreso
27/3/24;Banco BBVA;Caja de Ahorro 456;USD;3685,41;Ingreso
5/11/24;Banco Macro;Caja de Ahorro 456;EUR;715,69;Ingreso
13/1/24;Banco Naci—n;Caja de Ahorro 001;USD;-113,05;Egreso
29/2/24;Banco de Galicia;Caja de Ahorro 001;ARS;2408,98;Ingreso
18/5/24;Banco Santander;Cuenta Corriente 123;EUR;-181,16;Egreso
21/1/24;Banco Naci—n;Caja de Ahorro 456;EUR;-1776,19;Egreso
3/12/24;Banco Santander;Caja de Ahorro 001;ARS;1559,61;Ingreso
5/3/24;Banco Naci—n;Cuenta Corriente 789;USD;2158,64;Ingreso
23/5/24;Banco Macro;Cuenta Corriente 123;EUR;-648,4;Egreso
20/6/24;Banco de Galicia;Caja de Ahorro 001;USD;127,8;Ingreso
11/2/24;Banco Santander;Cuenta Corriente 123;ARS;562,01;Ingreso
31/1/24;Banco BBVA;Cuenta Corriente 123;ARS;3470,06;Ingreso
21/12/24;Banco Santander;Caja de Ahorro 001;ARS;1934,85;Ingreso
24/7/24;Banco Macro;Cuenta Corriente 123;USD;4611,59;Ingreso
3/12/24;Banco Naci—n;Caja de Ahorro 001;ARS;-50,6;Egreso
3/5/24;Banco Santander;Cuenta Corriente 789;EUR;319,89;Ingreso
16/7/24;Banco Santander;Cuenta Corriente 789;ARS;-1908,23;Egreso
28/9/24;Banco Naci—n;Caja de Ahorro 456;USD;3853,36;Ingreso
18/2/24;Banco Santander;Cuenta Corriente 789;EUR;2691,84;Ingreso
15/7/24;Banco Santander;Caja de Ahorro 001;USD;-2259,55;Egreso
14/1/24;Banco Macro;Caja de Ahorro 456;USD;-2114,97;Egreso
29/1/24;Banco Naci—n;Caja de Ahorro 456;EUR;-2350,98;Egreso
27/11/24;Banco BBVA;Cuenta Corriente 789;EUR;874,22;Ingreso
3/4/24;Banco Santander;Cuenta Corriente 123;EUR;3142,17;Ingreso
29/8/24;Banco BBVA;Caja de Ahorro 456;EUR;2812,35;Ingreso
5/9/24;Banco de Galicia;Cuenta Corriente 123;ARS;-846,5;Egreso
18/9/24;Banco Macro;Caja de Ahorro 456;USD;-507,51;Egreso
7/1/24;Banco Naci—n;Caja de Ahorro 456;ARS;-1814,71;Egreso
24/7/24;Banco Naci—n;Caja de Ahorro 001;EUR;2206,87;Ingreso
26/2/24;Banco BBVA;Caja de Ahorro 456;ARS;4175,28;Ingreso
17/9/24;Banco Galicia;Caja de Ahorro 001;EUR;1967,7;Ingreso
7/7/24;Banco Galicia;Cuenta Corriente 789;EUR;376,5;Ingreso
27/3/24;Banco Macro;Caja de Ahorro 456;ARS;2331,62;Ingreso
23/10/24;Banco Santander;Caja de Ahorro 001;USD;1361,16;Ingreso
25/8/24;Banco Naci—n;Caja de Ahorro 456;EUR;2461,45;Ingreso
27/8/24;Banco Santander;Cuenta Corriente 123;USD;1540,68;Ingreso
10/5/24;Banco Galicia;Cuenta Corriente 789;EUR;-2320,13;Egreso
6/7/24;Banco Santander;Cuenta Corriente 123;ARS;3224,23;Ingreso
7/12/24;Banco Macro;Cuenta Corriente 123;ARS;1385,57;Ingreso
18/8/24;Banco Santander;Cuenta Corriente 789;ARS;-1921,44;Egreso
2/11/24;Banco Galicia;Cuenta Corriente 789;EUR;-866,76;Egreso
12/1/24;Banco BBVA;Caja de Ahorro 001;EUR;908,49;Ingreso
1/6/24;Banco Naci—n;Caja de Ahorro 456;USD;2108,08;Ingreso
7/3/24;Banco Macro;Caja de Ahorro 456;EUR;3362,98;Ingreso
29/11/24;Banco Santander;Cuenta Corriente 789;EUR;4999,12;Ingreso
10/1/24;Banco Galicia;Caja de Ahorro 456;EUR;-1357,54;Egreso
28/10/24;Banco Santander;Cuenta Corriente 789;ARS;-1148,13;Egreso
25/7/24;Banco Macro;Caja de Ahorro 456;USD;-2026,69;Egreso
24/7/24;Banco Santander;Cuenta Corriente 123;EUR;1929,25;Ingreso
15/11/24;Banco BBVA;Cuenta Corriente 123;EUR;-2280,11;Egreso
23/5/24;Banco Macro;Cuenta Corriente 789;EUR;-238,17;Egreso
24/6/24;Banco Santander;Caja de Ahorro 456;ARS;-123,45;Egreso
31/10/24;Banco Naci—n;Cuenta Corriente 789;USD;1584,78;Ingreso
20/12/24;Banco de Galicia;Cuenta Corriente 123;ARS;342,74;Ingreso
15/7/24;Banco de Galicia;Caja de Ahorro 001;ARS;1126,33;Ingreso
2/8/24;Banco Nacion;Cuenta Corriente 123;ARS;-212,26;Egreso
29/8/24;Banco BBVA;Caja de Ahorro 001;USD;3277,02;Ingreso
14/9/24;Banco Galicia;Caja de Ahorro 001;EUR;4465,85;Ingreso
